gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2012R0101,2012,R1,2012-03-24,Greater Western Sydney,Sydney,5.7,14.16,Stadium Australia,38203.0,24.0,12.2,0.0
2012R0102,2012,R1,2012-03-29,Richmond,Carlton,12.9,18.17,M.C.G.,78285.0,25.7,9.7,0.0
2012R0103,2012,R1,2012-03-30,Hawthorn,Collingwood,20.17,16.19,M.C.G.,78466.0,27.4,9.7,0.0
2012R0104,2012,R1,2012-03-31,Melbourne,Brisbane Lions,11.12,17.17,M.C.G.,33473.0,29.1,15.1,0.6
2012R0105,2012,R1,2012-03-31,Gold Coast,Adelaide,10.8,19.23,Carrara,12790.0,28.2,19.7,0.0
2012R0106,2012,R1,2012-03-31,Fremantle,Geelong,16.9,15.11,Subiaco,34601.0,24.0,9.0,0.0
2012R0107,2012,R1,2012-03-31,North Melbourne,Essendon,15.12,14.2,Docklands,45818.0,29.1,15.1,0.6
2012R0108,2012,R1,2012-04-01,Western Bulldogs,West Coast,12.15,21.1,Docklands,24977.0,20.4,14.3,0.0
2012R0109,2012,R1,2012-04-01,Port Adelaide,St Kilda,13.11,13.7,Football Park,21179.0,24.3,11.8,0.0
2012R0201,2012,R2,2012-04-05,Brisbane Lions,Carlton,9.9,23.16,Gabba,25913.0,28.4,17.9,0.0
2012R0202,2012,R2,2012-04-07,Essendon,Port Adelaide,16.15,13.8,Docklands,34118.0,19.8,9.0,3.6
2012R0203,2012,R2,2012-04-07,Sydney,Fremantle,14.1,12.9,S.C.G.,22242.0,27.4,18.2,0.0
2012R0204,2012,R2,2012-04-07,West Coast,Melbourne,25.16,9.4,Subiaco,35674.0,29.9,11.5,0.0
2012R0205,2012,R2,2012-04-07,Adelaide,Western Bulldogs,11.16,9.1,Football Park,34021.0,19.8,13.9,0.0
2012R0206,2012,R2,2012-04-07,Collingwood,Richmond,12.13,8.16,M.C.G.,57268.0,19.8,9.0,3.6
2012R0207,2012,R2,2012-04-08,North Melbourne,Greater Western Sydney,28.15,8.6,Bellerive Oval,11127.0,18.4,8.9,0.4
2012R0208,2012,R2,2012-04-08,St Kilda,Gold Coast,21.13,7.5,Docklands,21078.0,20.0,6.9,0.0
2012R0209,2012,R2,2012-04-09,Geelong,Hawthorn,14.8,13.12,M.C.G.,69231.0,15.2,10.1,1.4
2012R0301,2012,R3,2012-04-13,Carlton,Collingwood,18.14,9.8,M.C.G.,84259.0,24.8,8.0,0.4
2012R0302,2012,R3,2012-04-14,Richmond,Melbourne,20.13,11.8,M.C.G.,49826.0,24.8,13.1,0.0
2012R0303,2012,R3,2012-04-14,Port Adelaide,Sydney,12.11,16.9,Football Park,19032.0,27.9,10.8,0.0
2012R0304,2012,R3,2012-04-14,Fremantle,Brisbane Lions,8.16,5.5,Subiaco,33473.0,26.0,11.8,0.0
2012R0305,2012,R3,2012-04-14,Gold Coast,Essendon,13.1,15.15,Carrara,17069.0,25.2,18.3,9.2
2012R0306,2012,R3,2012-04-14,Western Bulldogs,St Kilda,5.1,15.13,Docklands,28971.0,24.8,13.1,0.0
2012R0307,2012,R3,2012-04-15,Greater Western Sydney,West Coast,10.9,23.12,Blacktown,6875.0,26.9,16.0,0.0
2012R0308,2012,R3,2012-04-15,Hawthorn,Adelaide,21.14,12.12,M.C.G.,33524.0,26.7,15.6,0.0
2012R0309,2012,R3,2012-04-15,North Melbourne,Geelong,20.11,16.18,Docklands,29630.0,26.7,15.6,0.0
2012R0401,2012,R4,2012-04-20,St Kilda,Fremantle,11.13,14.8,Docklands,30172.0,22.1,11.8,2.4
2012R0402,2012,R4,2012-04-21,Carlton,Essendon,11.13,15.19,M.C.G.,73172.0,24.0,13.3,2.6
2012R0403,2012,R4,2012-04-21,Collingwood,Port Adelaide,14.13,10.13,Docklands,30741.0,24.0,13.3,2.6
2012R0404,2012,R4,2012-04-21,Adelaide,Greater Western Sydney,13.18,7.8,Football Park,28261.0,21.5,18.8,0.0
2012R0405,2012,R4,2012-04-21,West Coast,Hawthorn,5.21,5.16,Subiaco,40080.0,21.9,9.2,0.0
2012R0406,2012,R4,2012-04-21,Brisbane Lions,Gold Coast,17.9,6.1,Gabba,21980.0,29.9,18.1,0.0
2012R0407,2012,R4,2012-04-22,Geelong,Richmond,11.9,9.11,Kardinia Park,21952.0,23.2,14.5,7.2
2012R0408,2012,R4,2012-04-22,Sydney,North Melbourne,17.11,10.17,S.C.G.,21049.0,25.2,16.3,0.0
2012R0409,2012,R4,2012-04-22,Melbourne,Western Bulldogs,9.13,13.1,M.C.G.,33565.0,23.7,13.5,1.4
2012R0501,2012,R5,2012-04-25,Collingwood,Essendon,11.14,11.13,M.C.G.,86932.0,15.2,8.7,19.0
2012R0502,2012,R5,2012-04-27,Fremantle,Carlton,7.15,10.5,Subiaco,38847.0,29.5,17.6,0.0
