GameId,Year,Round,Date,HomeTeam,AwayTeam,HomeTeamScoreFT,AwayTeamScoreFT,Venue,Attendance,MaxTemp,MinTemp,Rainfall
2018R0101,2018,R1,2018-03-22,Richmond,Carlton,17.19,15.5,M.C.G.,"90,151",28.7,10.5,0.0
2018R0102,2018,R1,2018-03-23,Essendon,Adelaide,14.15,12.15,Docklands,"43,016",29.7,15.6,0.0
2018R0103,2018,R1,2018-03-24,St Kilda,Brisbane Lions,16.11,12.1,Docklands,"23,731",24.5,20.1,0.6
2018R0104,2018,R1,2018-03-24,Port Adelaide,Fremantle,16.14,9.6,Adelaide Oval,"38,324",31.6,20.5,0.0
2018R0105,2018,R1,2018-03-24,Gold Coast,North Melbourne,7.13,5.9,Cazaly's Stadium,"3,722",27.6,24.4,8.2
2018R0106,2018,R1,2018-03-24,Hawthorn,Collingwood,15.11,9.13,M.C.G.,"58,051",24.5,20.1,0.6
2018R0107,2018,R1,2018-03-25,Greater Western Sydney,Western Bulldogs,20.13,7.9,Manuka Oval,"10,454",25.0,11.2,0.0
2018R0108,2018,R1,2018-03-25,Melbourne,Geelong,13.16,14.13,M.C.G.,"54,112",26.6,17.2,15.0
2018R0109,2018,R1,2018-03-25,West Coast,Sydney,13.8,18.7,Perth Stadium,"53,553",25.8,18.8,0.0
2018R0201,2018,R2,2018-03-29,Adelaide,Richmond,18.1,12.1,Adelaide Oval,"49,743",22.0,14.2,0.0
2018R0202,2018,R2,2018-03-30,North Melbourne,St Kilda,13.17,5.13,Docklands,"33,966",24.5,11.5,0.0
2018R0203,2018,R2,2018-03-31,Carlton,Gold Coast,9.13,15.11,Docklands,"28,025",23.6,11.8,0.0
2018R0204,2018,R2,2018-03-31,Collingwood,Greater Western Sydney,12.7,15.5,M.C.G.,"30,941",23.6,11.8,0.0
2018R0205,2018,R2,2018-03-31,Brisbane Lions,Melbourne,10.14,14.16,Gabba,"17,141",29.3,20.7,0.4
2018R0206,2018,R2,2018-03-31,Fremantle,Essendon,16.1,14.6,Perth Stadium,"49,021",26.5,17.0,0.0
2018R0207,2018,R2,2018-04-01,Western Bulldogs,West Coast,9.16,18.13,Docklands,"22,868",28.6,11.6,0.0
2018R0208,2018,R2,2018-04-01,Sydney,Port Adelaide,10.11,14.1,S.C.G.,"34,636",30.6,19.1,0.0
2018R0209,2018,R2,2018-04-02,Geelong,Hawthorn,18.9,17.16,M.C.G.,"73,189",21.1,14.1,0.0
2018R0301,2018,R3,2018-04-06,Carlton,Collingwood,11.1,16.4,M.C.G.,"68,548",21.4,13.2,0.0
2018R0302,2018,R3,2018-04-07,Port Adelaide,Brisbane Lions,14.13,14.8,Adelaide Oval,"36,363",29.5,10.7,0.0
2018R0303,2018,R3,2018-04-07,Melbourne,North Melbourne,18.15,13.8,M.C.G.,"35,518",22.4,7.5,0.0
2018R0304,2018,R3,2018-04-07,Gold Coast,Fremantle,10.8,13.18,Perth Stadium,"33,388",24.7,16.4,0.0
2018R0305,2018,R3,2018-04-07,St Kilda,Adelaide,7.13,15.14,Docklands,"19,324",22.4,7.5,0.0
2018R0306,2018,R3,2018-04-07,Sydney,Greater Western Sydney,16.7,12.15,S.C.G.,"34,711",29.2,19.5,0.0
2018R0307,2018,R3,2018-04-08,Richmond,Hawthorn,15.12,13.11,M.C.G.,"70,701",30.9,9.5,0.0
2018R0308,2018,R3,2018-04-08,Western Bulldogs,Essendon,14.2,12.11,Docklands,"40,499",30.9,9.5,0.0
2018R0309,2018,R3,2018-04-08,West Coast,Geelong,14.11,11.14,Perth Stadium,"54,535",25.4,13.2,0.0
2018R0401,2018,R4,2018-04-13,Adelaide,Collingwood,9.4,16.1,Adelaide Oval,"45,495",23.2,14.4,0.0
2018R0402,2018,R4,2018-04-14,Greater Western Sydney,Fremantle,11.16,7.9,Manuka Oval,"11,356",20.2,13.9,12.0
2018R0403,2018,R4,2018-04-14,Richmond,Brisbane Lions,16.14,2.5,M.C.G.,"32,870",15.9,12.7,1.4
2018R0404,2018,R4,2018-04-14,Western Bulldogs,Sydney,11.13,13.8,Docklands,"28,058",15.9,12.7,1.4
2018R0405,2018,R4,2018-04-14,North Melbourne,Carlton,18.8,4.6,Bellerive Oval,"14,266",17.3,11.8,0.6
