playerid,displayname,height,weight,dob,position,origin
2020654979,"Aarts, Jake",177.0,75.0,1994-12-08,Forward,Richmond
2018655703,"Abbott, Ryan",200.0,100.0,1991-06-25,Ruck,Grovedale Tigers
2002652211,"Ablett, Gary",182.0,87.0,1984-05-14,Forward,Geelong Falcons
2014651814,"Acres, Blake",191.0,90.0,1995-10-07,Midfield,West Perth
2007653719,"Adams, Leigh",176.0,79.0,1988-04-06,Forward,Eastern Ranges
2016652575,"Adams, Marcus",192.0,93.0,1993-06-30,Defender,West Perth
2012656391,"Adams, Taylor",181.0,83.0,1993-09-20,Midfield,Geelong Falcons
2004652814,"Adcock, Jed",183.0,83.0,1985-11-15,"Defender, Forward",GWV Rebels
2006658504,"Addison, Dylan",184.0,84.0,1987-10-07,Forward,St George
2015654090,"Ah Chee, Brendon",189.0,88.0,1993-12-21,Midfield,South Fremantle
2016654616,"Ah Chee, Callum",182.0,78.0,1997-10-09,Defender,South Fremantle
2018651635,"Ahern, Paul",183.0,85.0,1996-08-01,"Defender, Midfield",Calder Cannons
2017651121,"Ainsworth, Ben",178.0,77.0,1998-02-10,Forward,Gippsland Power
2018658021,"Ainsworth, Brayden",184.0,80.0,1998-11-27,"Midfield, Forward",Subiaco
2014659159,"Aish, James",183.0,80.0,1995-11-08,Defender,Norwood
2022658947,"Aleer, Leek",195.0,85.0,2001-08-21,Defender,Central District
2016655002,"Aliir, Aliir",195.0,97.0,1994-09-05,Defender,East Fremantle
2012659703,"Allen, Jackson",179.0,79.0,1993-04-14,Defender,Morningside
2018659713,"Allen, Oscar",192.0,87.0,1999-03-19,Forward,West Perth
2017654463,"Allison, Jacob",193.0,82.0,1998-04-16,Midfield,Aspley
2020651689,"Amartey, Joel",197.0,96.0,1999-09-02,Ruck,Sandringham Dragons
2014655392,"Ambrose, Patrick",191.0,92.0,1991-09-01,Defender,Old Xaverians
2022655672,"Amiss, Jye",196.0,83.0,2003-07-31,Forward,East Perth
2015653134,"Amon, Karl",181.0,71.0,1995-08-19,Midfield,Sandringham Dragons
2013651330,"Anderson, Jed",179.0,81.0,1994-02-02,Midfield,NT Thunder
2020653600,"Anderson, Noah",188.0,86.0,2001-02-17,Midfield,Oakleigh Chargers
2022652598,"Andrew, Mac",201.0,74.0,2003-12-04,Defender,Dandenong Stingrays
2015656514,"Andrews, Harris",201.0,100.0,1996-12-11,Defender,Aspley
2022659018,"Angwin, Ryan",185.0,80.0,2002-12-12,Midfield,Gippsland Power
2019652827,"Answerth, Noah",182.0,82.0,1999-08-06,Defender,Oakleigh Chargers
2008657808,"Anthony, John",192.0,92.0,1988-01-19,Forward,Northern Knights
2009655881,"Anthony, Liam",189.0,86.0,1987-09-09,Midfield,East Fremantle
2014653706,"Apeness, Michael",199.0,101.0,1995-01-28,"Forward, Ruck",Eastern Ranges
2018659341,"Appleby, Flynn",187.0,82.0,1999-01-21,Defender,GWV Rebels
2022653660,"Archer, Jackson",185.0,75.0,2003-01-09,Defender,Northern Knights
2008659471,"Armfield, Dennis",182.0,80.0,1986-12-22,Forward,Swan Districts
2007654108,"Armitage, David",185.0,88.0,1988-06-16,"Midfield, Forward",Morningside
2010658504,"Armstrong, Tony",183.0,72.0,1989-09-29,Defender,NSW-ACT Rams
2013658050,"Arnot, Matt",180.0,86.0,1993-10-21,Midfield,Oakleigh Chargers
2020651147,"Ash, Lachie",186.0,80.0,2001-06-21,"Defender, Midfield",Murray Bushrangers
2014658541,"Ashby, Jason",187.0,77.0,1994-05-16,Defender,Oakleigh Chargers
2023658481,"Ashcroft, Will",182.0,78.0,2004-05-06,Midfield,Sandringham Dragons
2010658214,"Astbury, David",195.0,96.0,1991-02-26,Defender,GWV Rebels
2015652891,"Atkins, Rory",186.0,85.0,1994-07-12,Midfield,Calder Cannons
2019659412,"Atkins, Tom",180.0,86.0,1995-09-18,Forward,Geelong Cats
2017651348,"Atley, Joe",186.0,85.0,1998-08-04,Midfield,Bendigo Pioneers
2011656008,"Atley, Shaun",189.0,86.0,1992-09-13,Defender,Murray Bushrangers
2016652024,"Austin, Logan",195.0,85.0,1995-07-08,Defender,Belconnen
2007655214,"Austin, Mark",193.0,93.0,1989-02-24,Defender,Glenelg
2012654717,"Aylett, Kurt",189.0,77.0,1992-04-02,Midfield,"Leeton, NSW"
2012662089,"Baguley, Mark",178.0,81.0,1987-05-21,Forward,Frankston FC
2009662364,"Bail, Rohan",183.0,82.0,1988-06-26,"Midfield, Forward",Mt Gravatt
2006669682,"Bailey, Max",206.0,101.0,1986-10-23,Ruck,West Perth
2018665491,"Bailey, Zac",182.0,83.0,1999-09-23,"Defender, Midfield",Norwood
2018663038,"Baker, Liam",173.0,72.0,1998-01-27,"Defender, Midfield",Subiaco
2019665482,"Baker, Oskar",184.0,82.0,1998-05-25,Midfield,Aspley
2022666791,"Baldwin, Kaine",193.0,95.0,2002-05-30,Defender,Glenelg
2017661447,"Balic, Harley",187.0,82.0,1997-01-05,"Midfield, Forward",Sandringham Dragons
2003663684,"Ball, Luke",184.0,83.0,1984-05-25,Midfield,Sandringham Dragons
2009661143,"Ballantyne, Hayden",175.0,77.0,1987-07-16,Forward,Peel Thunder
2018666487,"Ballard, Charlie",195.0,91.0,1999-07-23,Defender,Sturt
2015663693,"Ballard, Jacob",188.0,89.0,1994-02-26,Midfield,Northern Blues
2020661851,"Ballenden, Connor",200.0,101.0,1999-03-29,Forward,Brisbane Academy
2019663723,"Balta, Noah",194.0,100.0,1999-10-23,"Forward, Ruck",Calder Cannons
2018667843,"Banfield, Bailey",190.0,92.0,1998-02-26,Forward,Claremont
2010668479,"Banfield, Todd",183.0,83.0,1990-06-28,Forward,Brisbane
2023662597,"Banks, Sam",187.0,74.0,2003-04-02,Defender,Tasmania Devils
2010664604,"Barlow, Michael",189.0,91.0,1987-12-18,"Midfield, Forward",Werribee
2023661734,"Barnett, Harry",203.0,98.0,2004-01-22,"Forward, Ruck",West Adelaide
2015662872,"Barrass, Tom",196.0,96.0,1995-10-08,Defender,Claremont
2015663855,"Barrett, Jake",184.0,83.0,1995-11-08,Forward,Temora
2014667833,"Barry, Dom",179.0,78.0,1994-03-07,Midfield,GWV Rebels
2002669240,"Bartel, Jimmy",187.0,87.0,1983-12-04,"Defender, Midfield",Geelong Falcons
2006663560,"Bartram, Clint",181.0,83.0,1988-02-16,Defender,Geelong Falcons
2010664900,"Bastinac, Ryan",186.0,82.0,1991-06-22,Midfield,Dandenong Stingrays
2011668225,"Batchelor, Jake",188.0,88.0,1992-02-13,Defender,Dandenong Stingrays
2006668068,"Bate, Matthew",192.0,93.0,1987-05-24,Forward,Eastern Ranges
2000665614,"Bateman, Chance",175.0,75.0,1981-06-21,Midfield,Perth
2017662715,"Battle, Josh",193.0,92.0,1998-09-01,"Midfield, Forward",Dandenong Stingrays
2023663993,"Bauer, Jacob",192.0,86.0,2002-06-04,Forward,North Adelaide
2022662353,"Bazzo, Rhett",195.0,86.0,2003-10-17,Defender,Swan Districts
2011664174,"Beams, Claye",182.0,85.0,1991-09-01,Midfield,Labrador
2009664745,"Beams, Dayne",187.0,88.0,1990-02-12,Midfield,Southport Sharks
2015663925,"Beasley, Hugh",190.0,86.0,1995-11-12,Defender,Oakleigh Chargers
2022667848,"Bedendo, Dominic",191.0,83.0,2002-07-09,Midfield,Murray Bushrangers
2020667638,"Bedford, Toby",178.0,69.0,2000-05-27,Forward,Dandenong Stingrays
2017666645,"Beech, Jonathon",188.0,88.0,1990-11-09,Forward,West Adelaide
2022662989,"Begg, Aiden",197.0,90.0,2002-10-08,Ruck,Eastern Ranges
2017664774,"Begley, Josh",188.0,89.0,1998-07-03,Forward,Eastern Ranges
2019668572,"Bell, James",183.0,81.0,1999-02-10,"Midfield, Forward",Sydney Swans
2012661596,"Bell, Tom",188.0,102.0,1991-06-13,Forward,Morningside Football Club
